Model,Method,Dataset,Temperature,AuPRC (%),FPR95 (%)
EoMT-Cityscapes,RbA,FS_LostFound_full,0.5,26.0,67.27
EoMT-Cityscapes,RbA,FS_LostFound_full,0.75,25.97,16.61
EoMT-Cityscapes,RbA,FS_LostFound_full,1.0,25.97,8.79
EoMT-Cityscapes,RbA,FS_LostFound_full,1.1,25.96,9.03
EoMT-Cityscapes,RbA,FS_LostFound_full,1.5,25.93,9.65
EoMT-Cityscapes,RbA,FS_LostFound_full,2.0,25.92,10.05
EoMT-Cityscapes,RbA,fs_static,0.5,55.85,84.55
EoMT-Cityscapes,RbA,fs_static,0.75,56.16,84.6
EoMT-Cityscapes,RbA,fs_static,1.0,56.11,82.68
EoMT-Cityscapes,RbA,fs_static,1.1,56.08,82.35
EoMT-Cityscapes,RbA,fs_static,1.5,55.98,73.52
EoMT-Cityscapes,RbA,fs_static,2.0,55.91,35.88
EoMT-Cityscapes,RbA,RoadAnomaly,0.5,74.12,44.02
EoMT-Cityscapes,RbA,RoadAnomaly,0.75,74.55,20.37
EoMT-Cityscapes,RbA,RoadAnomaly,1.0,74.62,20.41
EoMT-Cityscapes,RbA,RoadAnomaly,1.1,74.65,19.76
EoMT-Cityscapes,RbA,RoadAnomaly,1.5,75.01,18.34
EoMT-Cityscapes,RbA,RoadAnomaly,2.0,75.09,17.96
