Model,Method,Dataset,Temperature,AuPRC (%),FPR95 (%)
EoMT-Fine-tuned,RbA,RoadObsticle21,1.5,65.73,99.98
EoMT-Fine-tuned,RbA,RoadObsticle21,2.0,66.12,99.98
EoMT-Fine-tuned,RbA,FS_LostFound_full,0.5,31.42,78.97
EoMT-Fine-tuned,RbA,FS_LostFound_full,0.75,30.83,23.06
EoMT-Fine-tuned,RbA,FS_LostFound_full,1.0,30.61,26.92
EoMT-Fine-tuned,RbA,FS_LostFound_full,1.1,30.56,28.24
EoMT-Fine-tuned,RbA,FS_LostFound_full,1.5,30.43,25.75
EoMT-Fine-tuned,RbA,FS_LostFound_full,2.0,30.36,24.49
EoMT-Fine-tuned,RbA,fs_static,0.5,56.29,89.51
EoMT-Fine-tuned,RbA,fs_static,0.75,56.55,90.28
EoMT-Fine-tuned,RbA,fs_static,1.0,56.29,90.34
EoMT-Fine-tuned,RbA,fs_static,1.1,56.19,90.29
EoMT-Fine-tuned,RbA,fs_static,1.5,55.91,90.07
EoMT-Fine-tuned,RbA,fs_static,2.0,55.73,89.65
EoMT-Fine-tuned,RbA,RoadAnomaly,0.5,52.39,81.57
EoMT-Fine-tuned,RbA,RoadAnomaly,0.75,54.6,74.33
EoMT-Fine-tuned,RbA,RoadAnomaly,1.0,56.14,13.38
EoMT-Fine-tuned,RbA,RoadAnomaly,1.1,56.3,12.37
EoMT-Fine-tuned,RbA,RoadAnomaly,1.5,56.51,12.08
EoMT-Fine-tuned,RbA,RoadAnomaly,2.0,56.57,12.09
